,Unnamed: 0,text,text_clean,text_preprocessed
232,232,"@hahgimanaa kalo menurut gue pribadi, mungkin saking ricuhnya dew. polisi sampe gabisa nanganin (?) yang ditakutkan kan suporternya ricuh sampe keluar stadion, kemarin katanya ada provokator gitu..",kalau saya pribadi mungkin saking ricuhnya dew polisi tidak-bisa nanganin ditakutkan kan suporternya ricuh keluar stadion kemarin katanya provokator ,"['kalau', 'saya', 'pribadi', 'mungkin', 'saking', 'ricuh', 'dew', 'polisi', 'tidak-bisa', 'nanganin', 'takut', 'kan', 'suporter', 'ricuh', 'keluar', 'stadion', 'kemarin', 'kata', 'provokator']"
233,233,"Anggota Polisi yang Viral Karena Video Menghina TNI Akhirnya Dihukum
 
Klik untuk baca: https://t.co/NTdBcLff8W",anggota polisi viral video menghina tni akhirnya dihukum klik baca ,"['anggota', 'polisi', 'viral', 'video', 'hina', 'tni', 'akhir', 'hukum', 'klik', 'baca']"
234,234,@txtdrberseragam malah jadi polisi 🗿,bahkan jadi polisi 🗿 ,"['bahkan', 'jadi', 'polisi', '']"
235,235,"@KompasTV Ntar klu jadi polisi yang bener ya Nak, jangan seperti polisi yang kemarin lempar gas air mata ke kamu dan keluargamu",kalau jadi polisi benar iya nak jangan polisi kemarin lempar gas air mata kamu keluargamu ,"['kalau', 'jadi', 'polisi', 'benar', 'iya', 'nak', 'jangan', 'polisi', 'kemarin', 'lempar', 'gas', 'air', 'mata', 'kamu', 'keluarga']"
236,236,"Polisi berhasil mengamankan sembilan orang tersangka berikut barang bukti berupa 22,83 gram sabu-sabu dan 1.908 butir pil dobel L. #publisherstory #beritabojonegoro https://t.co/JPPphLJbKV",polisi berhasil mengamankan sembilan orang tersangka berikut barang bukti berupa gram sabu-sabu butir pil dobel l ,"['polisi', 'hasil', 'aman', 'sembilan', 'orang', 'sangka', 'ikut', 'barang', 'bukti', 'upa', 'gram', 'sabu-sabu', 'butir', 'pil', 'dobel', 'l']"
237,237,Org luar mana tau. Padahal yg sigap nanganin korban kan polisi🤭 https://t.co/aeLmJIrIIe,orang luar mana tahu padahal sigap nanganin korban kan polisi🤭 ,"['orang', 'luar', 'mana', 'tahu', 'padahal', 'sigap', 'nanganin', 'korban', 'kan', 'polisi']"
238,238,@Joker_Ulosowo Suara A kemungkinan besar seorang Dokter polisi..dan sepertinya itu mobil ambulance polisi,suara a kemungkinan besar seorang dokter polisidan sepertinya mobil ambulance polisi ,"['suara', 'a', 'mungkin', 'besar', 'orang', 'dokter', 'polisidan', 'seperti', 'mobil', 'ambulance', 'polisi']"
239,239,"@KompasTV Dulunya Polisi sih, gak heran",polisi sih heran ,"['polisi', 'sih', 'heran']"
240,240,"@moonareas aidil temen gua, ada. tapi orang nya dah meninggal gara-gara kabur pas tawuran ketauan polisi wkwkk",aidil teman ada orang nya meninggal gara-gara kabur tawuran ketahuan polisi wkwkk ,"['aidil', 'teman', 'ada', 'orang', 'nya', 'tinggal', 'gara-gara', 'kabur', 'tawur', 'tahu', 'polisi', 'wkwkk']"
241,241,"@txtdrberseragam nggak, cita-cita dia bukan jadi polisi.",cita-cita bukan jadi polisi ,"['cita', 'bukan', 'jadi', 'polisi']"
242,242,Ah yang bener? Beneran pengin jdi polisi? https://t.co/GnvxgOQo4L,ah benar beneran pengin jadi polisi ,"['ah', 'benar', 'beneran', 'pengin', 'jadi', 'polisi']"
243,243,@geloraco Polisi bru lulus guoblok.,polisi baru lulus goblok ,"['polisi', 'baru', 'lulus', 'goblok']"
244,244,"@txtdrberseragam Dia gak tau aja kedua orang tuanya meninggal karena apa. Singkat cerita anak ini jadi polisi, punya kedudukan. Dengan rasa penasaran memulai mencari fakta tentang kematian kedua orang tuanya. Dan ternyata...",tidak tahu kedua orang tuanya meninggal apa singkat cerita anak jadi polisi punya kedudukan rasa penasaran memulai mencari fakta kematian kedua orang tuanya ternyata ,"['tidak', 'tahu', 'dua', 'orang', 'tua', 'tinggal', 'apa', 'singkat', 'cerita', 'anak', 'jadi', 'polisi', 'punya', 'duduk', 'rasa', 'penasaran', 'mulai', 'cari', 'fakta', 'mati', 'dua', 'orang', 'tua', 'nyata']"
245,245,Ada mimpi tentang yang polisi tembak polisi tapi ragu apa mimpi hanya karena sering baca/dengar berita jadi kebawa mimpi. Sebagian lupa mimpinya apa. Sama2 umat percaya... ohh my Lord...,mimpi yang polisi tembak polisi ragu apa mimpi karena sering bacadengar berita jadi kebawa mimpi sebagian lupa mimpinya apa sama umat percaya ohh my lord ,"['mimpi', 'yang', 'polisi', 'tembak', 'polisi', 'ragu', 'apa', 'mimpi', 'karena', 'sering', 'bacadengar', 'berita', 'jadi', 'bawa', 'mimpi', 'bagi', 'lupa', 'mimpi', 'apa', 'sama', 'umat', 'percaya', 'ohh', 'my', 'lord']"
246,246,"@txtdrberseragam Org tuanya dibunuh polisi, anaknya mau dijadikan calon pembunuh jg gitu? Nggak ada otak",orang tuanya dibunuh polisi anaknya mau dijadikan calon pembunuh begitu ada otak ,"['orang', 'tua', 'bunuh', 'polisi', 'anak', 'mau', 'jadi', 'calon', 'bunuh', 'begitu', 'ada', 'otak']"
247,247,"7 Perwira Polisi menjadi tersangka obstruction of justice atas kasus kematian Brigadir J.

#merahputihcom #ferdysambo #brigadirJ #POLISI 

https://t.co/Vr1PnQxJI5",perwira polisi menjadi tersangka obstruction of justice atas kasus kematian brigadir j ,"['perwira', 'polisi', 'jadi', 'sangka', 'obstruction', 'of', 'justice', 'atas', 'kasus', 'mati', 'brigadir', 'j']"
248,248,"Live Streaming Now
GOOOOOLL!!!
Indonesia U17 (2) vs UAE U17 (0)
Link : https://t.co/tpIeRZk76G
Link : https://t.co/sDwVkY3qLk

#afc #afcu17qualifiers #timnasday #SepakatDamai #AgnezMo #KitaGaruda
Polisi - Reza - Mamat - Prabowo - Aremania - Manggarai - UEFA https://t.co/kbvX3G0x8X",live streaming now goooooll indonesia kamu vs uae kamu link link polisi - reza - mamat - prabowo - aremania - manggarai - uefa ,"['live', 'streaming', 'now', 'goooooll', 'indonesia', 'kamu', 'vs', 'uae', 'kamu', 'link', 'link', 'polisi', '-', 'reza', '-', 'mamat', '-', 'prabowo', '-', 'aremania', '-', 'manggarai', '-', 'uefa']"
249,249,"gw beneran udah hUFT sama polisi, LAMA LAMA GW YANG JADI POLISI",beneran mengeluh sama polisi lama lama yang jadi polisi ,"['beneran', 'keluh', 'sama', 'polisi', 'lama', 'lama', 'yang', 'jadi', 'polisi']"
250,250,"@firzieidris Ga penting! Tu urusin dulu Polisi mu yg bobrok,pembunuh massal. presiden kan panglima tertinggi,malah ngurusin stadion. Cih. Pencitraan muluk , heran, masalah utamanya apa yg difokusin apa.",penting urusin dulu polisi mu bobrokpembunuh massal presiden kan panglima tertinggimalah ngurusin stadion cih pencitraan muluk heran masalah utamanya apa difokusin apa ,"['penting', 'urusin', 'dulu', 'polisi', 'mu', 'bobrokpembunuh', 'massal', 'presiden', 'kan', 'panglima', 'tertinggimalah', 'ngurusin', 'stadion', 'cih', 'citra', 'muluk', 'heran', 'masalah', 'utama', 'apa', 'difokusin', 'apa']"
251,251,@Loseruprising @DivHumas_Polri Ini kenapa org Di gebukkin sm polisi ? Korupsi apa maling ayam ?,kenapa orang gebukkin sama polisi korupsi apa maling ayam ,"['kenapa', 'orang', 'gebukkin', 'sama', 'polisi', 'korupsi', 'apa', 'maling', 'ayam']"
252,252,@txtdrberseragam @DivHumas_Polri Lama2 polisi jadi musuh rakyat dah 😁,lama polisi jadi musuh rakyat 😁 ,"['lama', 'polisi', 'jadi', 'musuh', 'rakyat', '']"
253,253,@Oren_Fals Polisi TOLOL,polisi tolol ,"['polisi', 'tolol']"
254,254,@Tapirmuda @aalrizqi @Sean_Alma Harusnya polisi spt itu yg kemaren tugas di stadion.. sampe stadion poto2 trus pulang.. 😅😅,harusnya polisi itu kemarin tugas stadion stadion poto terus pulang 😅😅 ,"['harus', 'polisi', 'itu', 'kemarin', 'tugas', 'stadion', 'stadion', 'poto', 'terus', 'pulang', '']"
255,255,@panca66 @lantip @ListyoSigitP Tidak apple to apple membandingkan polisi profesional dengan polisi yang masuk jual sawah orang tua,apple to apple membandingkan polisi profesional polisi masuk jual sawah orang tua ,"['apple', 'to', 'apple', 'banding', 'polisi', 'profesional', 'polisi', 'masuk', 'jual', 'sawah', 'orang', 'tua']"
256,256,"@txtdrberseragam Minta mentahan modal buat masuk polisi aja dek, sawah misalnya.",minta mentahan modal membuat masuk polisi adik sawah misalnya ,"['minta', 'mentah', 'modal', 'buat', 'masuk', 'polisi', 'adik', 'sawah', 'misal']"
257,257,semoga polri tidak mengulur waktu dalam menuntaskan sidang etik terhadap puluhan anggota polisi yang terlibat kasus Duren Tiga. #GelarPelimpahanTahap2 kawal Segera Masuk Sidang https://t.co/QwIgbsvXiT,semoga polri mengulur waktu menuntaskan sidang etik puluhan anggota polisi terlibat kasus durian tiga kawal segera masuk sidang ,"['moga', 'polri', 'ulur', 'waktu', 'tuntas', 'sidang', 'etik', 'puluh', 'anggota', 'polisi', 'libat', 'kasus', 'durian', 'tiga', 'kawal', 'segera', 'masuk', 'sidang']"
258,258,"@yo2thok Ibunya pasti supel banget ini sampe kenal sama Pak Polisi dan suporter, padahal kayaknya dari bahasanya bukan warlok.",ibunya supel sangat sampai kenal sama pak polisi suporter padahal sepertinya bahasanya bukan warlok ,"['ibu', 'supel', 'sangat', 'sampai', 'kenal', 'sama', 'pak', 'polisi', 'suporter', 'padahal', 'seperti', 'bahasa', 'bukan', 'warlok']"
259,259,@ListyoSigitP  lebih baik di buang saja pak  polisi seperti ini. Racun untuk yang lain kalau cuma kurungan. https://t.co/RtzIdVJF79,lebih baik buang pak polisi ini racun yang kalau cuma kurungan ,"['lebih', 'baik', 'buang', 'pak', 'polisi', 'ini', 'racun', 'yang', 'kalau', 'cuma', 'kurung']"
260,260,"@txtdrberseragam Saya yatim piatu bisa jalur dalem jg ga ya? Cm mau cobain sehari jadi polisi, trus bsk cabut.",yatim piatu jalur dalem tidak iya cuma mau cobain sehari jadi polisi terus besok pergi ,"['yatim', 'piatu', 'jalur', 'dalem', 'tidak', 'iya', 'cuma', 'mau', 'cobain', 'hari', 'jadi', 'polisi', 'terus', 'besok', 'pergi']"
261,261,"@faradhil Kak, ngapain polisi malu? Kan yang malu harusnya tukang",kakak ngapain polisi malu kan malu harusnya tukang ,"['kakak', 'ngapain', 'polisi', 'malu', 'kan', 'malu', 'harus', 'tukang']"
262,262,Polisi menghina tni,polisi menghina tni ,"['polisi', 'hina', 'tni']"
263,263,Polisi masih dalami motif perkelahian pelaku https://t.co/EiEq0Qplnk,polisi masuk dalami motif perkelahian pelaku ,"['polisi', 'masuk', 'dalam', 'motif', 'kelahi', 'laku']"
264,264,Ini Tampang Oknum Polisi yang Jilat Kue HUT TNI untuk Pangdam Kasuari https://t.co/rN7lRzws4T,tampang oknum polisi jilat kue hut tni pangdam kasuari ,"['tampang', 'oknum', 'polisi', 'jilat', 'kue', 'hut', 'tni', 'pangdam', 'kasuari']"
265,265,@txtdrberseragam Menjadi seorang polisi adalah ide buruk dek,menjadi seorang polisi ide jelek adik ,"['jadi', 'orang', 'polisi', 'ide', 'jelek', 'adik']"
266,266,"@detikcom @detik_jatim Jahat sekali polisi yang menembakkan gas air mata!!
Semoga hidupnya  gak tenang dan dihantui para korban",jahat sekali polisi menembakkan gas air mata semoga hidupnya tenang dihantui korban ,"['jahat', 'sekali', 'polisi', 'tembak', 'gas', 'air', 'mata', 'moga', 'hidup', 'tenang', 'hantu', 'korban']"
267,267,@MafiaWasit share dong mbah vidio polisi luar sana kalo banyak suporter masuk lapangan kaya gimana antisipasinya,share dong mbah vidio polisi luar sana kalau banyak suporter masuk lapangan bagaimana antisipasinya ,"['share', 'dong', 'mbah', 'vidio', 'polisi', 'luar', 'sana', 'kalau', 'banyak', 'suporter', 'masuk', 'lapang', 'bagaimana', 'antisipasi']"
268,268,@annisavigne @SooyaaAbs @FuziSeptian Hujay Polisi mulutnya bau Gas Air Mata,hujay polisi mulutnya bau gas air mata ,"['hujay', 'polisi', 'mulut', 'bau', 'gas', 'air', 'mata']"
269,269,@panca66 @ListyoSigitP Yang bisa diharap dari @ListyoSigitP apaan?? Udah hancur lebur citra polisi kita di dunia sekarang,bisa diharap apa hancur lebur citra polisi di dunia sekarang ,"['bisa', 'harap', 'apa', 'hancur', 'lebur', 'citra', 'polisi', 'di', 'dunia', 'sekarang']"
270,270,"@NOTASLIMBOY Harusnya warga malang sweeping polisi n TNI trus hajar... Kalau g gitu TNI polisi g kan ada perbaikan. 

Yg lain tinggal tunggu waktu dihajar polisi n TNI aja",harusnya warga malang sweeping polisi tni terus hajar kalau begitu tni polisi kan perbaikan lain tinggal tunggu waktu dihajar polisi tni ,"['harus', 'warga', 'malang', 'sweeping', 'polisi', 'tni', 'terus', 'hajar', 'kalau', 'begitu', 'tni', 'polisi', 'kan', 'baik', 'lain', 'tinggal', 'tunggu', 'waktu', 'hajar', 'polisi', 'tni']"
271,271,@CNNIndonesia polisi indon betul2 memalukan,polisi indon benar memalukan ,"['polisi', 'indon', 'benar', 'malu']"
272,272,@txtdrberseragam cuman kyknya kalo udh gede dia gk pengen jd polisi deh..,cuma sepertinya kalau gede tidak jadi polisi deh ,"['cuma', 'seperti', 'kalau', 'gede', 'tidak', 'jadi', 'polisi', 'deh']"
273,273,ternyata polisi serius #GelarPelimpahanTahap2  Segera Masuk Sidang https://t.co/JaglqICgn8,ternyata polisi serius segera masuk sidang ,"['nyata', 'polisi', 'serius', 'segera', 'masuk', 'sidang']"
274,274,bukti nyata kalo polisi ini kerja keras serius #GelarPelimpahanTahap2  Segera Masuk Sidang https://t.co/YDe3nKODXy,bukti nyata kalau polisi kerja keras serius segera masuk sidang ,"['bukti', 'nyata', 'kalau', 'polisi', 'kerja', 'keras', 'serius', 'segera', 'masuk', 'sidang']"
275,275,"@collegemenfess Yes, setuju banget! Lo kalo ngomong sama org yg ngga kuliah aja beda banget pemikiran nya. Polisi pendidikan cuma 6 bulan, puas ga sih? Kaya bentar doang dh jadi polisi.",yes setuju sangat kamu kalau katakan sama orang kuliah beda sangat pemikiran nya polisi pendidikan cuma bulan puas tidak sih sebentar sudah jadi polisi ,"['yes', 'tuju', 'sangat', 'kamu', 'kalau', 'kata', 'sama', 'orang', 'kuliah', 'beda', 'sangat', 'pikir', 'nya', 'polisi', 'didik', 'cuma', 'bulan', 'puas', 'tidak', 'sih', 'sebentar', 'sudah', 'jadi', 'polisi']"
276,276,@bbyyberries @txtdrberseragam apa sang ibu dapet beasiswa buat jadi polisi juga?,apa sang ibu beasiswa membuat jadi polisi ,"['apa', 'sang', 'ibu', 'beasiswa', 'buat', 'jadi', 'polisi']"
277,277,Polisi Bakal Jemput Paksa kalau Rizky Billar Tak Hadiri Pemeriksaan KDRT Lesti Kejora https://t.co/joqx18xQ5I,polisi bakal jemput paksa kalau rizky billar hadiri pemeriksaan kdrt lesti kejora ,"['polisi', 'bakal', 'jemput', 'paksa', 'kalau', 'rizky', 'billar', 'hadir', 'periksa', 'kdrt', 'lesti', 'kejora']"
278,278,"Dua oknum polantas Polda Papua Barat yang viral karena menjilat kue ulang tahun TNI ke-77 meminta maaf. Permintaan maaf itu disampaikan dari balik tahanan.
Via: @detik_sulsel https://t.co/GfnVEWeA7x",oknum polantas polda papua barat viral menjilat kue ulang tahun tni ke- meminta maaf permintaan maaf disampaikan balik tahanan via ,"['oknum', 'polantas', 'polda', 'papua', 'barat', 'viral', 'jilat', 'kue', 'ulang', 'tahun', 'tni', 'ke-', 'minta', 'maaf', 'minta', 'maaf', 'sampai', 'balik', 'tahan', 'via']"
279,279,@panca66 @ListyoSigitP Gak bisa karna harga diri polisi di indonesia sudah di jual dgn uang,bisa harga diri polisi indonesia di jual uang ,"['bisa', 'harga', 'diri', 'polisi', 'indonesia', 'di', 'jual', 'uang']"
280,280,@collegemenfess aku aja kaget pendidikan polisi pendek bgt gitu wgwgwg,saja kaget pendidikan polisi pendek sangat wgwgwg ,"['saja', 'kaget', 'didik', 'polisi', 'pendek', 'sangat', 'wgwgwg']"
281,281,"1. Polisi (bahkan) diapresiasi karena mengambil keputusan menembak gas air mata

2. PSSI bilang penembakan gas bukan kebijakan pemerintah, melainkan oknum

Pertanyaannya: 
Apakah polisi bukan berada di bawah rumpun pemerintahan? atau semua polisi itu oknum? https://t.co/zVMy5PzKZv https://t.co/xaCXgvj3tp",polisi bahkan diapresiasi mengambil keputusan menembak gas air mata pssi katakan penembakan gas bukan kebijakan pemerintah oknum pertanyaannya polisi bukan berada bawah rumpun pemerintahan semua polisi oknum ,"['polisi', 'bahkan', 'apresiasi', 'ambil', 'putus', 'tembak', 'gas', 'air', 'mata', 'pssi', 'kata', 'tembak', 'gas', 'bukan', 'bijak', 'perintah', 'oknum', 'tanya', 'polisi', 'bukan', 'ada', 'bawah', 'rumpun', 'perintah', 'semua', 'polisi', 'oknum']"
282,282,@VIVAcoid Polisi gak punya otak SDM rendah2,polisi punya otak sdm rendah ,"['polisi', 'punya', 'otak', 'sdm', 'rendah']"
283,283,"Waaaa trnyata bkan anak saya saja yg trauma sama polisi. Sampai yg ibu2 pedagang dsana takut lo diwawancarai soalnya nanti klo wawancara djemput polisi. 
Gimna ni pak, warga anda sndiri trauma lo dengan anda. 
#polisiindonesia https://t.co/QXYdYTpS3a",waaaa trnyata bukan anak saja trauma sama polisi yang ibu pedagang dsana takut kamu diwawancarai soalnya kalau wawancara djemput polisi gimna nih pak warga kamu sendiri trauma kamu kamu ,"['waaaa', 'trnyata', 'bukan', 'anak', 'saja', 'trauma', 'sama', 'polisi', 'yang', 'ibu', 'dagang', 'dsana', 'takut', 'kamu', 'wawancara', 'soal', 'kalau', 'wawancara', 'djemput', 'polisi', 'gimna', 'nih', 'pak', 'warga', 'kamu', 'sendiri', 'trauma', 'kamu', 'kamu']"
284,284,"@KompasTV Jangan jd polisi dik, 2024 mau dibubarkan..",jangan jadi polisi dik mau dibubarkan ,"['jangan', 'jadi', 'polisi', 'dik', 'mau', 'bubar']"
285,285,Fans Bayern Mengenang Kanjuruhan: Lebih dari 100 Orang Dibunuh Polisi https://t.co/ERND9OJBJz,penggemar bayern mengenang kanjuruhan lebih orang dibunuh polisi ,"['gemar', 'bayern', 'kenang', 'kanjuruhan', 'lebih', 'orang', 'bunuh', 'polisi']"
286,286,"@geloraco Minta maaaaaaaff aja susahnya setengah mati. 
Seberapa besar pangkat dan harga diri polisi Indonesia, Pak?",minta maaaaaaaff susahnya setengah mati seberapa besar pangkat harga diri polisi indonesia pak ,"['minta', 'maaaaaaaff', 'susah', 'tengah', 'mati', 'berapa', 'besar', 'pangkat', 'harga', 'diri', 'polisi', 'indonesia', 'pak']"
287,287,Jesus she text me ati nikunje kama 50 yaku patia polisi ❤️🙌💯💯,jesus she text me ati nikunje kama yaku patia polisi ❤️🙌💯💯 ,"['jesus', 'she', 'text', 'me', 'ati', 'nikunje', 'kama', 'yaku', 'patia', 'polisi', '']"
288,288,@Heraloebss @ListyoSigitP kenapa bocah-bocah bego begini bisa diterima jadi polisi? https://t.co/maV6GsjzIk,bocah-bocah bego begini diterima jadi polisi ,"['bocah', 'bego', 'begini', 'terima', 'jadi', 'polisi']"
289,289,"Bila anda dijalan mendapat gangguan pk Ogah/Debt Collector/razia ilegal/tindak kekarasan dll oleh oknum berseragam polisi - videokan mtr/mbl-aparat tsb , muka dan nama oknumnya - TKP Dimana &amp; Kapan terjadi ? Share ke Tik Tok , Snack Video , YouTube agar bs di proses hk pidana. https://t.co/dxog2axYiJ",bila kamu dijalan mendapat gangguan pakai ogahdebt collectorrazia ilegaltindak kekarasan oleh oknum berseragam polisi - videokan mtrmbl-aparat tersebut muka nama oknumnya - tkp amp; kapan terjadi share cantik tok snack video youtube bisa proses hk pidana ,"['bila', 'kamu', 'jalan', 'dapat', 'ganggu', 'pakai', 'ogahdebt', 'collectorrazia', 'ilegaltindak', 'karas', 'oleh', 'oknum', 'seragam', 'polisi', '-', 'video', 'mtrmbl-aparat', 'sebut', 'muka', 'nama', 'oknum', '-', 'tkp', 'amp', '', 'kapan', 'jadi', 'share', 'cantik', 'tok', 'snack', 'video', 'youtube', 'bisa', 'proses', 'hk', 'pidana']"
290,290,"ternyata polisi serius #GelarPelimpahanTahap2 
kawal berkas Segera Masuk Sidang https://t.co/DqoLvl7bG7",ternyata polisi serius kawal berkas segera masuk sidang ,"['nyata', 'polisi', 'serius', 'kawal', 'berkas', 'segera', 'masuk', 'sidang']"
291,291,"@txtdrberseragam Pun kalo memang jadi polisi, jadilah bintang yg bersinar di antara kegelapan. Jauhi sirkel oknum polisi yg menjebak.",kalau memang jadi polisi jadilah bintang bersinar antara kegelapan jauhi sirkel oknum polisi menjebak ,"['kalau', 'memang', 'jadi', 'polisi', 'jadi', 'bintang', 'sinar', 'antara', 'gelap', 'jauh', 'sirkel', 'oknum', 'polisi', 'jebak']"
292,292,@marganimiqbal @Chesacheslie @gorila_punk @mediansportcom Berarti polisi nya juga dong? Kan mereka yang bikin tambah rusuh?,berarti polisi nya dong kan yang membuat tambah rusuh ,"['arti', 'polisi', 'nya', 'dong', 'kan', 'yang', 'buat', 'tambah', 'rusuh']"
293,293,"Kisah TKW Indonesia yang Terus Digoda Majikannya di Arab Saudi dan Diancam Melaporkannya kepada Polisi 
https://t.co/i8ViXugEq2 

Aremania Jepang THW FINAL Smt 1 Telkomsel Naruto #MataramIslah #UsutTuntasTragediKanjuruhan Xavi Tulus Utamakan Rakyat",kisah tkw indonesia terus digoda majikannya arab saudi diancam melaporkannya polisi aremania jepang thw final smt telkomsel naruto xavi tulus utamakan rakyat ,"['kisah', 'tkw', 'indonesia', 'terus', 'goda', 'majikan', 'arab', 'saudi', 'ancam', 'lapor', 'polisi', 'aremania', 'jepang', 'thw', 'final', 'smt', 'telkomsel', 'naruto', 'xavi', 'tulus', 'utama', 'rakyat']"
294,294,Kalo dia tau ortunya dibunuh polisi gmn ya?🤔 https://t.co/boMoIy17zZ,kalau tahu ortunya dibunuh polisi bagaimana ya🤔 ,"['kalau', 'tahu', 'ortunya', 'bunuh', 'polisi', 'bagaimana', 'ya']"
295,295,"Setelah berjam-jam melakukan pendalaman berita yg sedang beredar, saya memutuskan untuk mendukung mamat alkatiri sebagai calon ketum pssi

Polisi mamat presiden fifa https://t.co/mYvwCu6Cyq",berjam-jam melakukan pendalaman berita sedang beredar memutuskan mendukung mamat alkatiri calon ketum pssi polisi mamat presiden fifa ,"['jam', 'laku', 'dalam', 'berita', 'sedang', 'edar', 'putus', 'dukung', 'mamat', 'alkatiri', 'calon', 'tum', 'pssi', 'polisi', 'mamat', 'presiden', 'fifa']"
296,296,"@txtdrberseragam Polisi ada dimana², tapi tidak dengan keadilannya.",polisi dimana² tidak keadilannya ,"['polisi', 'mana', 'tidak', 'adil']"
297,297,"Negara yang presidennya dari wong cilik jadi negara polisi, banyak kali instansi negara yang diisi mereka bisa sampai rangkap jabatan.

Makanya harganya mahal, dari jual tanah warisan sampai menjadikan orangtua sebagai tumbal.. https://t.co/rPo2QnyfAp",negara presidennya wong cilik jadi negara polisi banyak kali instansi negara diisi bisa rangkap jabatan makanya harganya mahal jual tanah warisan menjadikan orangtua tumbal ,"['negara', 'presiden', 'wong', 'cilik', 'jadi', 'negara', 'polisi', 'banyak', 'kali', 'instansi', 'negara', 'isi', 'bisa', 'rangkap', 'jabat', 'makanya', 'harga', 'mahal', 'jual', 'tanah', 'waris', 'jadi', 'orangtua', 'tumbal']"
298,298,"Jaga Kamtibmas Tetap Kondusif, Ini Yang Dilakukan Satgas Ops Damai Cartenz Di Puncak

#indonesia #polriindonesia  #satgasdamaicartenz #OpsDamaiCartenz #Mabespolri #brimobuntukindonesia #Polisi #binmasnokenpolri #bhabinkamtibmas https://t.co/VFUKK8rAkP",jaga kamtibmas tetap kondusif yang dilakukan satgas ops damai cartenz puncak ,"['jaga', 'kamtibmas', 'tetap', 'kondusif', 'yang', 'laku', 'satgas', 'ops', 'damai', 'cartenz', 'puncak']"
299,299,"Link timnas Indonesia vs UAE U17 (Kualifikasi AFC U17) 
Gratis!!!!! No sensor!!! 

Tag: #timnasday, polisi, pssi, presiden fifa, aremania

https://t.co/WzZecZlEl0",link timnas indonesia vs uae kamu kualifikasi afc kamu gratis nomor sensor tag polisi pssi presiden fifa aremania ,"['link', 'timnas', 'indonesia', 'vs', 'uae', 'kamu', 'kualifikasi', 'afc', 'kamu', 'gratis', 'nomor', 'sensor', 'tag', 'polisi', 'pssi', 'presiden', 'fifa', 'aremania']"
300,300,Baba Askofu Emmaus Bandekile Mwamakula  akiongea na vyombo vya habari baada ya kutoka Polisi. https://t.co/iZlTVxbZuu,baba askofu emmaus bandekile mwamakula akiongea na vyombo vya habari baada iya kutoka polisi ,"['baba', 'askofu', 'emmaus', 'bandekile', 'mwamakula', 'akiongea', 'na', 'vyombo', 'vya', 'habari', 'baada', 'iya', 'kutoka', 'polisi']"
301,301,@VIVAcoid Perasaan temen temen gue yg jadi polisi pada waras deh. Ko di sosmed gue nemu polisi tolol mulu. Akhirnya gue sadar kalo polisi waras itu cuma oknum,perasaan teman teman yang jadi polisi waras deh kok sosmed nemu polisi tolol terus akhirnya sadar kalau polisi waras cuma oknum ,"['asa', 'teman', 'teman', 'yang', 'jadi', 'polisi', 'waras', 'deh', 'kok', 'sosmed', 'nemu', 'polisi', 'tolol', 'terus', 'akhir', 'sadar', 'kalau', 'polisi', 'waras', 'cuma', 'oknum']"
302,302,"Aku kira selama ini biaya jadi polisi segitu udah ga make sense, sekarang ternyata perlu ngorbanin ibu bapak https://t.co/QwT0deOWWH",dikira selama biaya jadi polisi segitu tidak pakai sense sekarang ternyata perlu ngorbanin ibu bapak ,"['kira', 'lama', 'biaya', 'jadi', 'polisi', 'segitu', 'tidak', 'pakai', 'sense', 'sekarang', 'nyata', 'perlu', 'ngorbanin', 'ibu', 'bapak']"
303,303,"Duh nak, ojok gelem. Sumpah ojok gelem dadi polisi. https://t.co/wR5HsY542x",aduh nak ojok gelem sumpah ojok gelem dadi polisi ,"['aduh', 'nak', 'ojok', 'gelem', 'sumpah', 'ojok', 'gelem', 'dadi', 'polisi']"
304,304,@geloraco Polisi jgn coba² berani membangunkan macan tidur...sangat berbahaya akibatnya.,polisi jangan coba² berani membangunkan macan tidursangat berbahaya akibatnya ,"['polisi', 'jangan', 'coba', 'berani', 'bangun', 'macan', 'tidursangat', 'bahaya', 'akibat']"
305,305,"@txtdrberseragam Barangkali pas udah jadi polisi bisa ketemu yang nembak gas air mata, terus ngerusak rumah tangganya, atau minimal mainin anak perempuannya 🙏🏻",barangkali sudah jadi polisi ketemu menyatakan gas air mata terus ngerusak rumah tangganya minimal mainin anak perempuannya 🙏🏻 ,"['barangkali', 'sudah', 'jadi', 'polisi', 'ketemu', 'nyata', 'gas', 'air', 'mata', 'terus', 'ngerusak', 'rumah', 'tangga', 'minimal', 'mainin', 'anak', 'perempuan', '']"
306,306,"nanti klo kamu jadi polisi, jadilah polisi yg jujur dan g arogan dek, lalu tempel foto orangtuamu d kantormu, agar yg tidak jujur dan arogan selalu ingat kejadian ini https://t.co/NtcBSafTew",kalau kamu jadi polisi jadilah polisi jujur arogan adik lalu tempel foto orangtuamu kantormu yang tidak jujur arogan selalu ingat kejadian ,"['kalau', 'kamu', 'jadi', 'polisi', 'jadi', 'polisi', 'jujur', 'arogan', 'adik', 'lalu', 'tempel', 'foto', 'orangtuamu', 'kantor', 'yang', 'tidak', 'jujur', 'arogan', 'selalu', 'ingat', 'jadi']"
